line_class,start,layer,dash,width
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(-10.0, 0.0)",(root),none,1pt
B,"(-10.69, -4.44)",(root),none,0.625
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(-10.0, 0.0)",(root),none,1pt
B,"(-10.0, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(1.96, 0.0)",(root),none,1pt
B,"(675.74, 615.64)",2 K tank,none,0.999216
B,"(811.7, 615.64)",2 K tank,none,0.999216
B,"(744.68, 479.15)",Piping and series instrumentation,none,1
B,"(741.38, 480.6)",Piping and series instrumentation,none,0.854545
B,"(1046.94, 675.66)",Piping and series instrumentation,none,1.00975px
B,"(1047.07, 616.96)",Piping and series instrumentation,none,0.7
B,"(1051.0, 623.04)",Piping and series instrumentation,none,0.7
B,"(1041.58, 613.42)",Piping and series instrumentation,none,0.7
B,"(1036.52, 621.65)",Piping and series instrumentation,none,0.584
B,"(1047.03, 656.18)",Piping and series instrumentation,none,0.7
B,"(1050.96, 662.25)",Piping and series instrumentation,none,0.7
B,"(1041.54, 652.64)",Piping and series instrumentation,none,0.7
B,"(1036.3, 661.09)",Piping and series instrumentation,none,0.584
B,"(1058.64, 602.54)",Piping and series instrumentation,none,1
B,"(1055.28, 598.77)",Piping and series instrumentation,none,0.999518
B,"(1053.73, 604.98)",Piping and series instrumentation,none,0.999518
B,"(1039.49, 582.42)",Piping and series instrumentation,none,1.875
B,"(1050.72, 672.22)",Piping and series instrumentation,none,0.999518
B,"(1044.5, 670.66)",Piping and series instrumentation,none,0.999518
B,"(744.67, 479.15)",TC-LB,none,1
B,"(741.39, 480.6)",TC-LB,none,0.854545
B,"(889.58, 230.32)",Headers A B C D,none,1px
B,"(790.14, 189.2)",Headers A B C D,none,1.00975px
B,"(797.29, 187.27)",Headers A B C D,none,1.875
B,"(791.84, 189.27)",Headers A B C D,none,0.599698
B,"(734.04, 230.54)",Piping and series instrumentation,none,1
B,"(747.8, 476.13)",Piping and series instrumentation,none,0.854545
B,"(740.14, 316.49)",Piping and series instrumentation,none,0.639818
B,"(744.84, 320.0)",Piping and series instrumentation,none,0.644882
B,"(748.76, 326.08)",Piping and series instrumentation,none,0.644882
B,"(740.26, 320.0)",Piping and series instrumentation,none,0.582274
B,"(734.35, 327.67)",Piping and series instrumentation,none,0.584
B,"(735.34, 325.61)",Piping and series instrumentation,none,0.3
B,"(736.16, 325.6)",Piping and series instrumentation,none,0.3
B,"(736.97, 325.6)",Piping and series instrumentation,none,0.3
B,"(737.77, 325.6)",Piping and series instrumentation,none,0.3
B,"(890.18, 159.22)",Instrumentation Pcav Observer,none,1.00975px
B,"(804.41, 159.37)",Instrumentation Pcav Observer,none,0.7
B,"(798.33, 163.3)",Instrumentation Pcav Observer,none,0.7
B,"(807.95, 153.88)",Instrumentation Pcav Observer,none,0.7
B,"(799.72, 148.82)",Instrumentation Pcav Observer,none,0.584
B,"(871.67, 159.27)",Instrumentation Pcav Observer,none,0.7
B,"(865.6, 163.2)",Instrumentation Pcav Observer,none,0.7
B,"(875.22, 153.77)",Instrumentation Pcav Observer,none,0.7
B,"(866.99, 148.72)",Instrumentation Pcav Observer,none,0.584
B,"(783.87, 155.33)",Instrumentation Pcav Observer,none,0.999518
B,"(785.43, 161.55)",Instrumentation Pcav Observer,none,0.999518
B,"(790.14, 159.14)",Instrumentation Pcav Observer,none,1.00975px
B,"(886.76, 155.37)",Instrumentation Pcav Observer,none,0.999518
B,"(885.2, 161.59)",Instrumentation Pcav Observer,none,0.999518
B,"(782.48, 182.87)",Instrumentation Pcav Observer,none,1.875
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(-10.0, 0.0)",(root),none,1pt
A,"(-10.69, -4.44)",(root),none,0.625
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(-10.69, -4.44)",(root),none,0.625
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(-10.0, 0.0)",(root),none,1pt
A,"(-10.0, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(-10.0, 0.0)",(root),none,1pt
A,"(-10.0, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(1.96, 0.0)",(root),none,1pt
A,"(736.7, 655.48)",Bottom connection,none,0.545455
A,"(756.55, 655.61)",Bottom connection,none,0.545455
A,"(726.96, 479.15)",Piping and series instrumentation,none,1
A,"(726.96, 569.06)",Piping and series instrumentation,"1, 1",1
A,"(729.32, 484.44)",Piping and series instrumentation,none,0.854563
A,"(745.5, 687.13)",Piping and series instrumentation,none,1
A,"(853.59, 651.68)",Piping and series instrumentation,none,1
A,"(587.59, 484.44)",Piping and series instrumentation,none,0.854563
A,"(744.67, 561.31)",TC-LB,none,1
A,"(726.94, 561.31)",TC-LB,none,1
A,"(587.59, 484.44)",TC-LB,none,0.854563
A,"(729.32, 484.44)",TC-LB,none,0.854563
A,"(301.37, 212.48)",Headers A B C D,none,1px
A,"(585.33, 477.65)",Piping and series instrumentation,none,1
A,"(581.42, 482.94)",Piping and series instrumentation,none,0.854563
A,"(585.21, 352.83)",Piping and series instrumentation,none,1
A,"(723.12, 482.94)",Piping and series instrumentation,none,0.854563
A,"(590.01, 410.76)",Piping and series instrumentation,none,0.639818
A,"(585.32, 407.24)",Piping and series instrumentation,none,0.644882
A,"(581.39, 401.17)",Piping and series instrumentation,none,0.644882
A,"(589.89, 407.24)",Piping and series instrumentation,none,0.582274
A,"(595.8, 399.57)",Piping and series instrumentation,none,0.584
A,"(594.81, 401.64)",Piping and series instrumentation,none,0.3
A,"(593.99, 401.64)",Piping and series instrumentation,none,0.3
A,"(593.18, 401.64)",Piping and series instrumentation,none,0.3
A,"(592.39, 401.64)",Piping and series instrumentation,none,0.3
A,"(589.93, 306.1)",Piping and series instrumentation,none,0.639818
A,"(585.23, 302.59)",Piping and series instrumentation,none,0.644882
A,"(581.3, 296.51)",Piping and series instrumentation,none,0.644882
A,"(589.81, 302.59)",Piping and series instrumentation,none,0.582274
A,"(595.72, 294.92)",Piping and series instrumentation,none,0.584
A,"(594.73, 296.99)",Piping and series instrumentation,none,0.3
A,"(593.91, 296.99)",Piping and series instrumentation,none,0.3
