id,label,depth,text_count
layer1,background,1,2
layer18,CPLR B,2,0
layer18-3,CPLR A,2,0
layer18-8,Tee B,2,0
layer18-8-6,Tee A,2,0
layer10,Legend,2,0
layer9,Comments,2,0
layer12,Scopes,3,3
layer19-4,Version,2,1
layer4,coldmasses,1,0
layer19,RFCELL,1,0
layer8,TUN,2,12
layer2,CAV,2,6
layer3,CPLR,2,25
layer11,CPLR water loops,3,0
layer6-9-1,CPLR flange heater,3,2
layer6-9-1-3,EH TT,4,3
layer6-9-1-9,RF tee anti-freeze,3,1
layer6,Comment,4,2
layer5,RF Tee monitoring (FREIA),3,6
layer14,"CPLR AD, ED, PT",3,8
layer21,Tubes for FREIA,3,0
layer7,Green pipes,4,0
layer13,Instrumentation,4,6
