tag,prefix,number,meaning,variable,role,is_safety,x,y,layer
EH514,EH,514,Electric Heater,heat,actuator,False,891.66,955.92,CPLR 1
TT514,TT,514,Temperature Transmitter,temperature,sensor,False,891.7,965.29,CPLR 1
TT513,TT,513,Temperature Transmitter,temperature,sensor,False,777.31,902.69,CPLR 1
EH524,EH,524,Electric Heater,heat,actuator,False,573.69,959.25,EH TT
TT524,TT,524,Temperature Transmitter,temperature,sensor,False,573.72,968.62,EH TT
TT523,TT,523,Temperature Transmitter,temperature,sensor,False,688.2,900.77,CPLR 2
TT535,TT,535,Temperature Transmitter,temperature,sensor,False,494.61,720.33,CPLR circuit
KW2,KW,2,Connector / coupler,mechanical,annotation,False,913.68,803.26,Namings
KW1,KW,1,Connector / coupler,mechanical,annotation,False,915.84,750.48,Namings
AK2,AK,2,Antenna / connector,mechanical,annotation,False,530.28,789.82,Namings
AK1,AK,1,Antenna / connector,mechanical,annotation,False,530.28,736.67,Namings
TT536,TT,536,Temperature Transmitter,temperature,sensor,False,877.05,724.82,CPLR circuit
TT546,TT,546,Temperature Transmitter,temperature,sensor,False,710.21,778.4,CPLR circuit
TT512,TT,512,Temperature Transmitter,temperature,sensor,False,801.72,683.1,CPLR cuff and port metal
TT511,TT,511,Temperature Transmitter,temperature,sensor,False,801.93,675.11,CPLR cuff and port metal
TT522,TT,522,Temperature Transmitter,temperature,sensor,False,663.66,682.96,CPLR cuff and port metal
TT521,TT,521,Temperature Transmitter,temperature,sensor,False,663.41,674.08,CPLR cuff and port metal
TT521,TT,521,Temperature Transmitter,temperature,sensor,False,663.42,674.08,CPLR cuff and port metal
LT551,LT,551,Level Transmitter,level,sensor,False,699.24,548.77,2 K tank
LT550,LT,550,Level Transmitter,level,sensor,False,774.9,550.25,2 K tank
LT552,LT,552,Level Transmitter,level,sensor,False,774.92,556.66,2 K tank
TT515,TT,515,Temperature Transmitter,temperature,sensor,False,832.16,583.67,Instrumentation
TT516,TT,516,Temperature Transmitter,temperature,sensor,False,832.18,590.88,Instrumentation
TT526,TT,526,Temperature Transmitter,temperature,sensor,False,637.24,589.17,Instrumentation
TT526,TT,526,Temperature Transmitter,temperature,sensor,False,637.25,589.16,Instrumentation
TT517,TT,517,Temperature Transmitter,temperature,sensor,False,868.76,649.74,Instrumentation
TT517,TT,517,Temperature Transmitter,temperature,sensor,False,868.76,649.73,Instrumentation
TT557,TT,557,Temperature Transmitter,temperature,sensor,False,656.75,560.39,Instrumentation
TT557,TT,557,Temperature Transmitter,temperature,sensor,False,656.75,560.38,Instrumentation
EH520,EH,520,Electric Heater,heat,actuator,False,690.74,654.03,Instrumentation
TT520,TT,520,Temperature Transmitter,temperature,sensor,False,690.74,661.24,Instrumentation
EH559,EH,559,Electric Heater,heat,actuator,False,693.6,607.87,Instrumentation
TT559,TT,559,Temperature Transmitter,temperature,sensor,False,693.6,615.08,Instrumentation
EH558,EH,558,Electric Heater,heat,actuator,False,772.28,608.43,Instrumentation
TT558,TT,558,Temperature Transmitter,temperature,sensor,False,772.28,615.65,Instrumentation
EH510,EH,510,Electric Heater,heat,actuator,False,782.18,654.6,Instrumentation
TT510,TT,510,Temperature Transmitter,temperature,sensor,False,782.18,661.82,Instrumentation
MV2,MV,2,Manual / Motorised Valve,control,valve,False,867.95,529.77,Piping and series instrumentation
MV1,MV,1,Manual / Motorised Valve,control,valve,False,877.54,555.63,Piping and series instrumentation
SV560,SV,560,Safety / Solenoid Valve,safety,valve,True,1092.39,557.12,Piping and series instrumentation
SV561,SV,561,Safety / Solenoid Valve,safety,valve,True,1092.5,511.34,Piping and series instrumentation
