tag,value,meaning,x,y,layer,source_text
TT514,,Temperature Transmitter,891.7,965.29,CPLR 1,
TT513,,Temperature Transmitter,777.31,902.69,CPLR 1,
TT524,,Temperature Transmitter,573.72,968.62,EH TT,
TT523,,Temperature Transmitter,688.2,900.77,CPLR 2,
TT535,,Temperature Transmitter,494.61,720.33,CPLR circuit,
TT536,,Temperature Transmitter,877.05,724.82,CPLR circuit,
TT546,,Temperature Transmitter,710.21,778.4,CPLR circuit,
TT512,,Temperature Transmitter,801.72,683.1,CPLR cuff and port metal,
TT511,,Temperature Transmitter,801.93,675.11,CPLR cuff and port metal,
TT522,,Temperature Transmitter,663.66,682.96,CPLR cuff and port metal,
TT521,,Temperature Transmitter,663.41,674.08,CPLR cuff and port metal,
TT521,,Temperature Transmitter,663.42,674.08,CPLR cuff and port metal,
TT515,,Temperature Transmitter,832.16,583.67,Instrumentation,
TT516,,Temperature Transmitter,832.18,590.88,Instrumentation,
TT526,,Temperature Transmitter,637.24,589.17,Instrumentation,
TT526,,Temperature Transmitter,637.25,589.16,Instrumentation,
TT517,,Temperature Transmitter,868.76,649.74,Instrumentation,
TT517,,Temperature Transmitter,868.76,649.73,Instrumentation,
TT557,,Temperature Transmitter,656.75,560.39,Instrumentation,
TT557,,Temperature Transmitter,656.75,560.38,Instrumentation,
TT520,,Temperature Transmitter,690.74,661.24,Instrumentation,
TT559,,Temperature Transmitter,693.6,615.08,Instrumentation,
TT558,,Temperature Transmitter,772.28,615.65,Instrumentation,
TT510,,Temperature Transmitter,782.18,661.82,Instrumentation,
,4K,,791.86,587.11,2 K tank,31 mbar @2K1250 mbar @4K (LTU)1070 mbar @4K (FREIA)
,4K,,791.86,587.11,2 K tank,31 mbar @2K1250 mbar @4K (LTU)1070 mbar @4K (FREIA)
TT556,,Temperature Transmitter,714.63,620.56,Piping and series instrumentation,
TT509,,Temperature Transmitter,758.71,703.12,Piping and series instrumentation,
TT561,,Temperature Transmitter,762.15,531.2,Piping and series instrumentation,
TT576,,Temperature Transmitter,681.35,838.7,EHTT,
TT575,,Temperature Transmitter,647.0,836.76,Piping and series instrumentation,
TT574,,Temperature Transmitter,563.28,834.66,Piping and series instrumentation,
TT573,,Temperature Transmitter,530.51,838.44,Piping and series instrumentation,
TT579,,Temperature Transmitter,437.95,541.27,Piping and series instrumentation,
TT570,,Temperature Transmitter,362.05,542.26,Piping and series instrumentation,
TT571,,Temperature Transmitter,445.65,835.94,Piping and series instrumentation,
TT577,,Temperature Transmitter,717.68,836.13,Piping and series instrumentation,
TT578,,Temperature Transmitter,770.5,835.33,Piping and series instrumentation,
TT572,,Temperature Transmitter,496.58,836.61,Piping and series instrumentation,
TT581,,Temperature Transmitter,471.99,893.08,Piping and series instrumentation,
TT582,,Temperature Transmitter,738.77,893.31,Piping and series instrumentation,
TT528,,Temperature Transmitter,607.59,594.29,RFCELL 2,
TT529,,Temperature Transmitter,607.61,599.11,RFCELL 2,
TT518,,Temperature Transmitter,869.67,594.39,RFCELL 1,
TT519,,Temperature Transmitter,869.69,599.2,RFCELL 1,
,2-292 K,,251.99,630.85,V502,"2-292 K
Pamb. (LTU or FREIA bunker)"
TT537,,Temperature Transmitter,1011.99,731.72,Piping and series instrumentation,
TT547,,Temperature Transmitter,1011.94,783.65,Piping and series instrumentation,
TT538,,Temperature Transmitter,1057.52,729.07,Piping and series instrumentation,
TT548,,Temperature Transmitter,1056.22,782.45,Piping and series instrumentation,
TT596,,Temperature Transmitter,1044.36,391.6,Piping and series instrumentation,
TT590,,Temperature Transmitter,317.43,427.6,Vacuum vessel,
TT583,,Temperature Transmitter,436.67,433.31,Piping and series instrumentation,
TT586,,Temperature Transmitter,442.8,355.01,Piping and series instrumentation,
TT585,,Temperature Transmitter,453.38,381.65,Piping and series instrumentation,
TT584,,Temperature Transmitter,453.71,420.51,Piping and series instrumentation,
TT589,,Temperature Transmitter,415.73,293.75,Headers A B C D,
TT588,,Temperature Transmitter,507.48,300.94,Headers A B C D,
TT500,,Temperature Transmitter,539.31,224.38,Headers A B C D,
,4.5 K,,972.51,216.84,Naming and conditions,4.5 K; 3 bar
,3.5 K,,981.07,234.56,Naming and conditions,3.5 K; 27 mbar
,40 K,,972.51,252.28,Naming and conditions,40 K; 14 bar
,60 K,,972.51,269.99,Naming and conditions,60 K; 13 bar
TT550,,Temperature Transmitter,701.15,348.39,Piping and series instrumentation,
TT551,,Temperature Transmitter,680.57,386.28,Piping and series instrumentation,
TT595,,Temperature Transmitter,228.57,281.53,Piping and series instrumentation,
TT594,,Temperature Transmitter,186.33,288.68,Piping and series instrumentation,
TT568,,Temperature Transmitter,751.6,355.88,Piping and series instrumentation,
TT567,,Temperature Transmitter,751.93,389.53,Piping and series instrumentation,
TT592,,Temperature Transmitter,66.02,419.26,Spare heaters,
TT591,,Temperature Transmitter,32.26,399.12,Spare heaters,
TT593,,Temperature Transmitter,35.98,438.02,Spare heaters,
TT566,,Temperature Transmitter,767.26,441.43,Pre-series,
TT569,,Temperature Transmitter,768.85,290.34,Pre-series,
,292 K,,8.69,102.47,He guard,He guard header292 K; 1.15 bar
,292 K,,1423.15,117.73,W,292 K; 1.05 bar
,2-292 K,,1429.77,101.71,Piping,2-292 K; 1.05 bar
