color,count,group,meaning,confidence
#000000,172,Structure / outlines / text,"generic geometry, borders, labels",high
#000080,65,Water loop (navy),RFCELL water-loop / process line,medium
#0000ff,32,Process line A,4.5 K / 3 bar helium supply,high
#1a1a1a,32,Dark strokes / text,near-black strokes and annotations,high
#00ff00,27,Coupler / utility water lines,DI cooling water to couplers / FREIA,high
#008000,17,QINFRA scope piping,infrastructure scope-division lines,medium
#00ffff,11,Process line B,3.5 K / 27 mbar helium (2 K return),high
#ff0000,5,Process line D,40 K / 14 bar thermal-shield helium,high
#9b9b9b,4,(unmapped),,low
#898585,4,(unmapped),,low
#999999,2,Grey structure,mechanical structure / shading,medium
#808000,2,He-guard / Class E header,292 K 1.15 bar guard or 60 K/13 bar return,medium
#808080,2,Grey shading,mid-grey shading,medium
#ff00ff,1,Instrument air,pneumatic / instrument-air signal lines,high
