tag,prefix,number,meaning,variable,role,is_safety,x,y,layer
EHx21,EH,x21,Electric Heater,heat,actuator,False,566.01,385.07,TUN
TTx21,TT,x21,Temperature Transmitter,temperature,sensor,False,566.05,394.45,TUN
EHx22,EH,x22,Electric Heater,heat,actuator,False,568.78,408.32,TUN
TTx22,TT,x22,Temperature Transmitter,temperature,sensor,False,568.82,417.69,TUN
EHx11,EH,x11,Electric Heater,heat,actuator,False,851.57,393.33,TUN
TTx11,TT,x11,Temperature Transmitter,temperature,sensor,False,851.6,402.7,TUN
EHx12,EH,x12,Electric Heater,heat,actuator,False,851.18,416.12,TUN
TTx12,TT,x12,Temperature Transmitter,temperature,sensor,False,851.21,425.49,TUN
PZx21,PZ,x21,Pressure (special / safety),pressure,sensor,True,564.58,359.98,TUN
PZx22,PZ,x22,Pressure (special / safety),pressure,sensor,True,564.61,369.36,TUN
PZx11,PZ,x11,Pressure (special / safety),pressure,sensor,True,864.51,366.38,TUN
PZx12,PZ,x12,Pressure (special / safety),pressure,sensor,True,864.54,375.75,TUN
TTx23,TT,x23,Temperature Transmitter,temperature,sensor,False,562.45,249.57,TUN
SMx21,SM,x21,Special Measurement,analysis,device,False,562.49,258.95,TUN
RSx21,RS,x21,Special / status,analysis,device,False,562.52,268.32,TUN
TTx13,TT,x13,Temperature Transmitter,temperature,sensor,False,854.36,251.97,TUN
SMx11,SM,x11,Special Measurement,analysis,device,False,854.4,261.34,TUN
RSx11,RS,x11,Special / status,analysis,device,False,854.43,270.72,TUN
LSx21,LS,x21,Level Switch,level,switch,False,550.89,324.94,TUN
LSx22,LS,x22,Level Switch,level,switch,False,550.92,334.32,TUN
LSx23,LS,x23,Level Switch,level,switch,False,550.95,343.69,TUN
LSx21,LS,x21,Level Switch,level,switch,False,630.26,247.91,TUN
LSx22,LS,x22,Level Switch,level,switch,False,630.29,257.28,TUN
LSx23,LS,x23,Level Switch,level,switch,False,630.33,266.66,TUN
LSx11,LS,x11,Level Switch,level,switch,False,862.81,333.04,TUN
LSx12,LS,x12,Level Switch,level,switch,False,862.84,342.42,TUN
LSx13,LS,x13,Level Switch,level,switch,False,862.88,351.79,TUN
