tag,value,meaning,x,y,layer,source_text
TTx21,,Temperature Transmitter,566.05,394.45,TUN,
TTx22,,Temperature Transmitter,568.82,417.69,TUN,
TTx11,,Temperature Transmitter,851.6,402.7,TUN,
TTx12,,Temperature Transmitter,851.21,425.49,TUN,
TTx23,,Temperature Transmitter,562.45,249.57,TUN,
TTx13,,Temperature Transmitter,854.36,251.97,TUN,
TTxxx,,Temperature Transmitter,193.77,945.67,CPLR,
TT526,,Temperature Transmitter,512.02,692.32,EH TT,
TT516,,Temperature Transmitter,904.95,692.32,CPLR flange heater,
TTx24,,Temperature Transmitter,562.16,840.57,EH TT,
TTx14,,Temperature Transmitter,839.56,841.98,RF tee anti-freeze,
TTxxx,,Temperature Transmitter,647.13,828.89,RF Tee monitoring (FREIA),
TTxxx,,Temperature Transmitter,577.13,740.89,RF Tee monitoring (FREIA),
TTxxx,,Temperature Transmitter,833.45,739.18,RF Tee monitoring (FREIA),
TTxxx,,Temperature Transmitter,841.35,817.31,RF Tee monitoring (FREIA),
TTxxx,,Temperature Transmitter,571.71,816.32,RF Tee monitoring (FREIA),
TTxxx,,Temperature Transmitter,767.54,828.99,RF Tee monitoring (FREIA),
TTxxx,,Temperature Transmitter,696.03,867.5,Instrumentation,
TTxxx,,Temperature Transmitter,717.85,856.9,Instrumentation,
TTxxx,,Temperature Transmitter,684.15,764.38,Instrumentation,
TTxxx,,Temperature Transmitter,726.56,764.07,Instrumentation,
TTxxx,,Temperature Transmitter,727.82,690.24,Instrumentation,
TTxxx,,Temperature Transmitter,690.3,690.38,Instrumentation,
